homelat,homelon,homecontinent,n
26.0789,117.9874,China,0
37.8099,101.0583,China,0
23.3417,113.4244,China,0
23.8298,108.7881,China,0
26.8154,106.8748,China,0
19.1959,109.7453,China,0
39.549,116.1306,China,1
47.862,127.7615,China,1
33.882,113.614,China,0
22.3,114.2,China,0
30.9756,112.2707,China,40
27.6104,111.7088,China,0
44.0935,113.9448,China,0
32.9711,119.455,China,0
27.614,115.7221,China,0
43.6661,126.1923,China,0
41.2956,122.6085,China,0
22.1667,113.55,China,0
37.2692,106.1655,China,0
35.7452,95.9956,China,0
35.1917,108.8701,China,0
36.3427,118.1498,China,0
31.202,121.4491,China,0
37.5777,112.2922,China,0
30.6171,102.7103,China,0
39.3054,117.323,China,0
31.6927,88.0924,China,0
41.1129,85.2401,China,0
24.974,101.487,China,0
29.1832,120.0934,China,0
4.5709,-74.2973,Colombia,0
-4.0383,21.7587,Congo (Brazzaville),0
-4.0383,21.7587,Congo (Kinshasa),0
9.7489,-83.7534,Costa Rica,0
7.54,-5.5471,Cote d'Ivoire,0
45.1,15.2,Croatia,0
0,0,Diamond Princess,0
22,-80,Cuba,0
35.1264,33.4299,Cyprus,0
49.8175,15.473,Czechia,0
61.8926,-6.9118,Denmark,0
71.7069,-42.6043,Denmark,0
56.2639,9.5018,Denmark,0
11.8251,42.5903,Djibouti,0
18.7357,-70.1627,Dominican Republic,0
-1.8312,-78.1834,Ecuador,0
26,30,Egypt,0
13.7942,-88.8965,El Salvador,0
1.5,10,Equatorial Guinea,0
15.1794,39.7823,Eritrea,0
58.5953,25.0136,Estonia,0
-26.5225,31.4659,Eswatini,0
9.145,40.4897,Ethiopia,0
-17.7134,178.065,Fiji,0
64,26,Finland,0
3.9339,-53.1258,France,0
-17.6797,149.4068,France,0
16.25,-61.5833,France,0
-12.8275,45.1662,France,0
-20.9043,165.618,France,0
-21.1351,55.2471,France,0
17.9,-62.8333,France,0
18.0708,-63.0501,France,0
14.6415,-61.0242,France,0
46.2276,2.2137,France,0
-0.8037,11.6094,Gabon,0
13.4432,-15.3101,Gambia,0
42.3154,43.3569,Georgia,0
51,9,Germany,0
7.9465,-1.0232,Ghana,0
39.0742,21.8243,Greece,0
15.7835,-90.2308,Guatemala,0
9.9456,-9.6966,Guinea,0
5,-58.75,Guyana,0
18.9712,-72.2852,Haiti,0
41.9029,12.4534,Holy See,0
15.2,-86.2419,Honduras,0
47.1625,19.5033,Hungary,0
64.9631,-19.0208,Iceland,0
21,78,India,0
-0.7893,113.9213,Indonesia,0
32,53,Iran,0
33,44,Iraq,0
53.1424,-7.6921,Ireland,0
31,35,Israel,0
43,12,Italy,0
18.1096,-77.2975,Jamaica,0
36,138,Japan,0
31.24,36.51,Jordan,0
48.0196,66.9237,Kazakhstan,0
-0.0236,37.9062,Kenya,0
36,128,South Korea,0
29.5,47.75,Kuwait,0
41.2044,74.7661,Kyrgyzstan,0
56.8796,24.6032,Latvia,0
33.8547,35.8623,Lebanon,0
6.4281,-9.4295,Liberia,0
47.14,9.55,Liechtenstein,0
55.1694,23.8813,Lithuania,0
49.8153,6.1296,Luxembourg,0
-18.7669,46.8691,Madagascar,0
2.5,112.5,Malaysia,0
3.2028,73.2207,Maldives,0
35.9375,14.3754,Malta,0
21.0079,10.9408,Mauritania,0
-20.2,57.5,Mauritius,0
23.6345,-102.5528,Mexico,0
47.4116,28.3699,Moldova,0
43.7333,7.4167,Monaco,0
46.8625,103.8467,Mongolia,0
42.5,19.3,Montenegro,0
31.7917,-7.0926,Morocco,0
-22.9576,18.4904,Namibia,0
28.1667,84.25,Nepal,0
12.5186,-70.0358,Netherlands,0
12.1696,-68.99,Netherlands,0
18.0425,-63.0548,Netherlands,0
52.1326,5.2913,Netherlands,0
-40.9006,174.886,New Zealand,0
12.8654,-85.2072,Nicaragua,0
17.6078,8.0817,Niger,0
9.082,8.6753,Nigeria,0
41.6086,21.7453,North Macedonia,0
60.472,8.4689,Norway,0
21,57,Oman,0
30.3753,69.3451,Pakistan,0
8.538,-80.7821,Panama,0
-6.315,143.9555,Papua New Guinea,0
-23.4425,-58.4438,Paraguay,0
-9.19,-75.0152,Peru,0
13,122,Philippines,0
51.9194,19.1451,Poland,0
39.3999,-8.2245,Portugal,0
25.3548,51.1839,Qatar,0
45.9432,24.9668,Romania,0
60,90,Russia,0
-1.9403,29.8739,Rwanda,0
13.9094,-60.9789,Saint Lucia,0
12.9843,-61.2872,Saint Vincent and the Grenadines,0
43.9424,12.4578,San Marino,0
24,45,Saudi Arabia,0
14.4974,-14.4524,Senegal,0
44.0165,21.0059,Serbia,0
-4.6796,55.492,Seychelles,0
1.2833,103.8333,Singapore,0
48.669,19.699,Slovakia,0
46.1512,14.9955,Slovenia,0
5.1521,46.1996,Somalia,0
-30.5595,22.9375,South Africa,0
40,-4,Spain,0
7,81,Sri Lanka,0
12.8628,30.2176,Sudan,0
3.9193,-56.0278,Suriname,0
63,16,Sweden,0
46.8182,8.2275,Switzerland,0
23.7,121,Taiwan*,0
-6.369,34.8888,Tanzania,0
15,101,Thailand,0
8.6195,0.8248,Togo,0
10.6918,-61.2225,Trinidad and Tobago,0
34,9,Tunisia,0
38.9637,35.2433,Turkey,0
1,32,Uganda,0
48.3794,31.1656,Ukraine,0
24,54,United Arab Emirates,0
32.3078,-64.7505,United Kingdom,0
19.3133,-81.2546,United Kingdom,0
49.3723,-2.3644,United Kingdom,0
36.1408,-5.3536,United Kingdom,0
54.2361,-4.5481,United Kingdom,0
16.7425,-62.1874,United Kingdom,0
55.3781,-3.436,United Kingdom,0
-32.5228,-55.7658,Uruguay,0
37.0902,-95.7129,US,0
41.3775,64.5853,Uzbekistan,0
6.4238,-66.5897,Venezuela,0
16,108,Vietnam,0
-15.4167,28.2833,Zambia,0
-20,30,Zimbabwe,0
0,0,Canada,0
15.415,-61.371,Dominica,0
12.1165,-61.679,Grenada,0
-18.665695,35.529562,Mozambique,0
34.802075,38.996815,Syria,0
-8.874217,125.727539,Timor-Leste,0
13.1939,-59.5432,Belize,0
19.85627,102.495496,Laos,0
26.3351,17.228331,Libya,0
31.9522,35.2332,West Bank and Gaza,0
11.8037,-15.1804,Guinea-Bissau,0
17.570692,-3.996166,Mali,0
17.357822,-62.782998,Saint Kitts and Nevis,0
64.8255,-124.8457,Canada,0
64.2823,-135,Canada,0
42.602636,20.902977,Kosovo,0
21.9162,95.956,Burma,0
18.2206,-63.0686,United Kingdom,0
18.4207,-64.64,United Kingdom,0
21.694,-71.7979,United Kingdom,0
0,0,MS Zaandam,0
-22.3285,24.6849,Botswana,0
-3.3731,29.9189,Burundi,0
8.460555,-11.779889,Sierra Leone,0
-13.254308,34.301525,Malawi,0
-51.7963,-59.5236,United Kingdom,0
46.8852,-56.3159,France,0
6.877,31.307,South Sudan,0
24.2155,-12.8858,Western Sahara,0
0.18636,6.613081,Sao Tome and Principe,0
33,65,Afghanistan,0
41.1533,20.1683,Albania,0
28.0339,1.6596,Algeria,0
42.5063,1.5218,Andorra,0
-11.2027,17.8739,Angola,0
17.0608,-61.7964,Antigua and Barbuda,0
-38.4161,-63.6167,Argentina,0
40.0691,45.0382,Armenia,0
-35.4735,149.0124,Australia,0
-33.8688,151.2093,Australia,0
-12.4634,130.8456,Australia,0
-28.0167,153.4,Australia,0
-34.9285,138.6007,Australia,0
-41.4545,145.9707,Australia,0
-37.8136,144.9631,Australia,0
-31.9505,115.8605,Australia,0
47.5162,14.5501,Austria,0
40.1431,47.5769,Azerbaijan,0
25.0343,-77.3963,Bahamas,0
26.0275,50.55,Bahrain,0
23.685,90.3563,Bangladesh,0
13.1939,-59.5432,Barbados,0
53.7098,27.9534,Belarus,0
50.8333,4,Belgium,0
9.3077,2.3158,Benin,0
27.5142,90.4336,Bhutan,0
-16.2902,-63.5887,Bolivia,0
43.9159,17.6791,Bosnia and Herzegovina,0
-14.235,-51.9253,Brazil,0
4.5353,114.7277,Brunei,0
42.7339,25.4858,Bulgaria,0
12.2383,-1.5616,Burkina Faso,0
16.5388,-23.0418,Cabo Verde,0
11.55,104.9167,Cambodia,0
3.848,11.5021,Cameroon,0
53.9333,-116.5765,Canada,0
49.2827,-123.1207,Canada,0
37.6489,-122.6655,Canada,0
53.7609,-98.8139,Canada,0
46.5653,-66.4619,Canada,0
53.1355,-57.6604,Canada,0
44.682,-63.7443,Canada,0
51.2538,-85.3232,Canada,0
46.5107,-63.4168,Canada,0
52.9399,-73.5491,Canada,0
52.9399,-106.4509,Canada,0
6.6111,20.9394,Central African Republic,0
15.4542,18.7322,Chad,0
-35.6751,-71.543,Chile,0
31.8257,117.2264,China,0
40.1824,116.4142,China,0
30.0572,107.874,China,0
26.0789,117.9874,China,0
37.8099,101.0583,China,0
23.3417,113.4244,China,0
23.8298,108.7881,China,0
26.8154,106.8748,China,0
19.1959,109.7453,China,0
39.549,116.1306,China,1
47.862,127.7615,China,1
33.882,113.614,China,1
22.3,114.2,China,0
30.9756,112.2707,China,52
27.6104,111.7088,China,0
44.0935,113.9448,China,0
32.9711,119.455,China,0
27.614,115.7221,China,0
43.6661,126.1923,China,0
41.2956,122.6085,China,0
22.1667,113.55,China,0
37.2692,106.1655,China,0
35.7452,95.9956,China,0
35.1917,108.8701,China,0
36.3427,118.1498,China,0
31.202,121.4491,China,1
37.5777,112.2922,China,0
30.6171,102.7103,China,0
39.3054,117.323,China,0
31.6927,88.0924,China,0
41.1129,85.2401,China,0
24.974,101.487,China,0
29.1832,120.0934,China,0
4.5709,-74.2973,Colombia,0
-4.0383,21.7587,Congo (Brazzaville),0
-4.0383,21.7587,Congo (Kinshasa),0
9.7489,-83.7534,Costa Rica,0
7.54,-5.5471,Cote d'Ivoire,0
45.1,15.2,Croatia,0
0,0,Diamond Princess,0
22,-80,Cuba,0
35.1264,33.4299,Cyprus,0
49.8175,15.473,Czechia,0
61.8926,-6.9118,Denmark,0
71.7069,-42.6043,Denmark,0
56.2639,9.5018,Denmark,0
11.8251,42.5903,Djibouti,0
18.7357,-70.1627,Dominican Republic,0
-1.8312,-78.1834,Ecuador,0
26,30,Egypt,0
13.7942,-88.8965,El Salvador,0
1.5,10,Equatorial Guinea,0
15.1794,39.7823,Eritrea,0
58.5953,25.0136,Estonia,0
-26.5225,31.4659,Eswatini,0
9.145,40.4897,Ethiopia,0
-17.7134,178.065,Fiji,0
64,26,Finland,0
3.9339,-53.1258,France,0
-17.6797,149.4068,France,0
16.25,-61.5833,France,0
-12.8275,45.1662,France,0
-20.9043,165.618,France,0
-21.1351,55.2471,France,0
17.9,-62.8333,France,0
18.0708,-63.0501,France,0
14.6415,-61.0242,France,0
46.2276,2.2137,France,0
-0.8037,11.6094,Gabon,0
13.4432,-15.3101,Gambia,0
42.3154,43.3569,Georgia,0
51,9,Germany,0
7.9465,-1.0232,Ghana,0
39.0742,21.8243,Greece,0
15.7835,-90.2308,Guatemala,0
9.9456,-9.6966,Guinea,0
5,-58.75,Guyana,0
18.9712,-72.2852,Haiti,0
41.9029,12.4534,Holy See,0
15.2,-86.2419,Honduras,0
47.1625,19.5033,Hungary,0
64.9631,-19.0208,Iceland,0
21,78,India,0
-0.7893,113.9213,Indonesia,0
32,53,Iran,0
33,44,Iraq,0
53.1424,-7.6921,Ireland,0
31,35,Israel,0
43,12,Italy,0
18.1096,-77.2975,Jamaica,0
36,138,Japan,0
31.24,36.51,Jordan,0
48.0196,66.9237,Kazakhstan,0
-0.0236,37.9062,Kenya,0
36,128,South Korea,0
29.5,47.75,Kuwait,0
41.2044,74.7661,Kyrgyzstan,0
56.8796,24.6032,Latvia,0
33.8547,35.8623,Lebanon,0
6.4281,-9.4295,Liberia,0
47.14,9.55,Liechtenstein,0
55.1694,23.8813,Lithuania,0
49.8153,6.1296,Luxembourg,0
-18.7669,46.8691,Madagascar,0
2.5,112.5,Malaysia,0
3.2028,73.2207,Maldives,0
35.9375,14.3754,Malta,0
21.0079,10.9408,Mauritania,0
-20.2,57.5,Mauritius,0
23.6345,-102.5528,Mexico,0
47.4116,28.3699,Moldova,0
43.7333,7.4167,Monaco,0
46.8625,103.8467,Mongolia,0
42.5,19.3,Montenegro,0
31.7917,-7.0926,Morocco,0
-22.9576,18.4904,Namibia,0
28.1667,84.25,Nepal,0
12.5186,-70.0358,Netherlands,0
12.1696,-68.99,Netherlands,0
18.0425,-63.0548,Netherlands,0
52.1326,5.2913,Netherlands,0
-40.9006,174.886,New Zealand,0
12.8654,-85.2072,Nicaragua,0
17.6078,8.0817,Niger,0
9.082,8.6753,Nigeria,0
41.6086,21.7453,North Macedonia,0
60.472,8.4689,Norway,0
21,57,Oman,0
30.3753,69.3451,Pakistan,0
8.538,-80.7821,Panama,0
-6.315,143.9555,Papua New Guinea,0
-23.4425,-58.4438,Paraguay,0
-9.19,-75.0152,Peru,0
13,122,Philippines,0
51.9194,19.1451,Poland,0
39.3999,-8.2245,Portugal,0
25.3548,51.1839,Qatar,0
45.9432,24.9668,Romania,0
60,90,Russia,0
-1.9403,29.8739,Rwanda,0
13.9094,-60.9789,Saint Lucia,0
12.9843,-61.2872,Saint Vincent and the Grenadines,0
43.9424,12.4578,San Marino,0
24,45,Saudi Arabia,0
14.4974,-14.4524,Senegal,0
44.0165,21.0059,Serbia,0
-4.6796,55.492,Seychelles,0
1.2833,103.8333,Singapore,0
48.669,19.699,Slovakia,0
46.1512,14.9955,Slovenia,0
5.1521,46.1996,Somalia,0
-30.5595,22.9375,South Africa,0
40,-4,Spain,0
7,81,Sri Lanka,0
12.8628,30.2176,Sudan,0
3.9193,-56.0278,Suriname,0
63,16,Sweden,0
46.8182,8.2275,Switzerland,0
23.7,121,Taiwan*,0
-6.369,34.8888,Tanzania,0
15,101,Thailand,0
8.6195,0.8248,Togo,0
10.6918,-61.2225,Trinidad and Tobago,0
34,9,Tunisia,0
38.9637,35.2433,Turkey,0
1,32,Uganda,0
48.3794,31.1656,Ukraine,0
24,54,United Arab Emirates,0
32.3078,-64.7505,United Kingdom,0
19.3133,-81.2546,United Kingdom,0
49.3723,-2.3644,United Kingdom,0
36.1408,-5.3536,United Kingdom,0
54.2361,-4.5481,United Kingdom,0
16.7425,-62.1874,United Kingdom,0
55.3781,-3.436,United Kingdom,0
-32.5228,-55.7658,Uruguay,0
37.0902,-95.7129,US,0
41.3775,64.5853,Uzbekistan,0
6.4238,-66.5897,Venezuela,0
16,108,Vietnam,0
-15.4167,28.2833,Zambia,0
-20,30,Zimbabwe,0
0,0,Canada,0
15.415,-61.371,Dominica,0
12.1165,-61.679,Grenada,0
-18.665695,35.529562,Mozambique,0
34.802075,38.996815,Syria,0
-8.874217,125.727539,Timor-Leste,0
13.1939,-59.5432,Belize,0
19.85627,102.495496,Laos,0
26.3351,17.228331,Libya,0
31.9522,35.2332,West Bank and Gaza,0
11.8037,-15.1804,Guinea-Bissau,0
17.570692,-3.996166,Mali,0
17.357822,-62.782998,Saint Kitts and Nevis,0
64.8255,-124.8457,Canada,0
64.2823,-135,Canada,0
42.602636,20.902977,Kosovo,0
21.9162,95.956,Burma,0
18.2206,-63.0686,United Kingdom,0
18.4207,-64.64,United Kingdom,0
21.694,-71.7979,United Kingdom,0
0,0,MS Zaandam,0
-22.3285,24.6849,Botswana,0
-3.3731,29.9189,Burundi,0
8.460555,-11.779889,Sierra Leone,0
-13.254308,34.301525,Malawi,0
-51.7963,-59.5236,United Kingdom,0
46.8852,-56.3159,France,0
6.877,31.307,South Sudan,0
24.2155,-12.8858,Western Sahara,0
0.18636,6.613081,Sao Tome and Principe,0
33,65,Afghanistan,0
41.1533,20.1683,Albania,0
28.0339,1.6596,Algeria,0
42.5063,1.5218,Andorra,0
-11.2027,17.8739,Angola,0
17.0608,-61.7964,Antigua and Barbuda,0
-38.4161,-63.6167,Argentina,0
40.0691,45.0382,Armenia,0
-35.4735,149.0124,Australia,0
-33.8688,151.2093,Australia,0
-12.4634,130.8456,Australia,0
-28.0167,153.4,Australia,0
-34.9285,138.6007,Australia,0
-41.4545,145.9707,Australia,0
-37.8136,144.9631,Australia,0
-31.9505,115.8605,Australia,0
47.5162,14.5501,Austria,0
40.1431,47.5769,Azerbaijan,0
25.0343,-77.3963,Bahamas,0
26.0275,50.55,Bahrain,0
23.685,90.3563,Bangladesh,0
13.1939,-59.5432,Barbados,0
53.7098,27.9534,Belarus,0
50.8333,4,Belgium,0
9.3077,2.3158,Benin,0
27.5142,90.4336,Bhutan,0
-16.2902,-63.5887,Bolivia,0
43.9159,17.6791,Bosnia and Herzegovina,0
-14.235,-51.9253,Brazil,0
4.5353,114.7277,Brunei,0
42.7339,25.4858,Bulgaria,0
12.2383,-1.5616,Burkina Faso,0
16.5388,-23.0418,Cabo Verde,0
11.55,104.9167,Cambodia,0
3.848,11.5021,Cameroon,0
53.9333,-116.5765,Canada,0
49.2827,-123.1207,Canada,0
37.6489,-122.6655,Canada,0
53.7609,-98.8139,Canada,0
46.5653,-66.4619,Canada,0
53.1355,-57.6604,Canada,0
44.682,-63.7443,Canada,0
51.2538,-85.3232,Canada,0
46.5107,-63.4168,Canada,0
52.9399,-73.5491,Canada,0
52.9399,-106.4509,Canada,0
6.6111,20.9394,Central African Republic,0
15.4542,18.7322,Chad,0
-35.6751,-71.543,Chile,0
31.8257,117.2264,China,0
40.1824,116.4142,China,1
30.0572,107.874,China,0
26.0789,117.9874,China,0
37.8099,101.0583,China,0
23.3417,113.4244,China,0
23.8298,108.7881,China,0
26.8154,106.8748,China,0
19.1959,109.7453,China,1
39.549,116.1306,China,1
47.862,127.7615,China,1
33.882,113.614,China,1
22.3,114.2,China,0
30.9756,112.2707,China,76
27.6104,111.7088,China,0
44.0935,113.9448,China,0
32.9711,119.455,China,0
27.614,115.7221,China,0
43.6661,126.1923,China,0
41.2956,122.6085,China,0
22.1667,113.55,China,0
37.2692,106.1655,China,0
35.7452,95.9956,China,0
35.1917,108.8701,China,0
36.3427,118.1498,China,0
31.202,121.4491,China,1
37.5777,112.2922,China,0
30.6171,102.7103,China,0
39.3054,117.323,China,0
31.6927,88.0924,China,0
41.1129,85.2401,China,0
24.974,101.487,China,0
29.1832,120.0934,China,0
4.5709,-74.2973,Colombia,0
-4.0383,21.7587,Congo (Brazzaville),0
-4.0383,21.7587,Congo (Kinshasa),0
9.7489,-83.7534,Costa Rica,0
7.54,-5.5471,Cote d'Ivoire,0
45.1,15.2,Croatia,0
0,0,Diamond Princess,0
22,-80,Cuba,0
35.1264,33.4299,Cyprus,0
49.8175,15.473,Czechia,0
61.8926,-6.9118,Denmark,0
71.7069,-42.6043,Denmark,0
56.2639,9.5018,Denmark,0
11.8251,42.5903,Djibouti,0
18.7357,-70.1627,Dominican Republic,0
-1.8312,-78.1834,Ecuador,0
26,30,Egypt,0
13.7942,-88.8965,El Salvador,0
1.5,10,Equatorial Guinea,0
15.1794,39.7823,Eritrea,0
58.5953,25.0136,Estonia,0
-26.5225,31.4659,Eswatini,0
9.145,40.4897,Ethiopia,0
-17.7134,178.065,Fiji,0
64,26,Finland,0
3.9339,-53.1258,France,0
-17.6797,149.4068,France,0
16.25,-61.5833,France,0
-12.8275,45.1662,France,0
-20.9043,165.618,France,0
-21.1351,55.2471,France,0
17.9,-62.8333,France,0
18.0708,-63.0501,France,0
14.6415,-61.0242,France,0
46.2276,2.2137,France,0
-0.8037,11.6094,Gabon,0
13.4432,-15.3101,Gambia,0
42.3154,43.3569,Georgia,0
51,9,Germany,0
7.9465,-1.0232,Ghana,0
39.0742,21.8243,Greece,0
15.7835,-90.2308,Guatemala,0
9.9456,-9.6966,Guinea,0
5,-58.75,Guyana,0
18.9712,-72.2852,Haiti,0
41.9029,12.4534,Holy See,0
15.2,-86.2419,Honduras,0
47.1625,19.5033,Hungary,0
64.9631,-19.0208,Iceland,0
21,78,India,0
-0.7893,113.9213,Indonesia,0
32,53,Iran,0
33,44,Iraq,0
53.1424,-7.6921,Ireland,0
31,35,Israel,0
43,12,Italy,0
18.1096,-77.2975,Jamaica,0
36,138,Japan,0
31.24,36.51,Jordan,0
48.0196,66.9237,Kazakhstan,0
-0.0236,37.9062,Kenya,0
36,128,South Korea,0
29.5,47.75,Kuwait,0
41.2044,74.7661,Kyrgyzstan,0
56.8796,24.6032,Latvia,0
33.8547,35.8623,Lebanon,0
6.4281,-9.4295,Liberia,0
47.14,9.55,Liechtenstein,0
55.1694,23.8813,Lithuania,0
49.8153,6.1296,Luxembourg,0
-18.7669,46.8691,Madagascar,0
2.5,112.5,Malaysia,0
3.2028,73.2207,Maldives,0
35.9375,14.3754,Malta,0
21.0079,10.9408,Mauritania,0
-20.2,57.5,Mauritius,0
23.6345,-102.5528,Mexico,0
47.4116,28.3699,Moldova,0
43.7333,7.4167,Monaco,0
46.8625,103.8467,Mongolia,0
42.5,19.3,Montenegro,0
31.7917,-7.0926,Morocco,0
-22.9576,18.4904,Namibia,0
28.1667,84.25,Nepal,0
12.5186,-70.0358,Netherlands,0
12.1696,-68.99,Netherlands,0
18.0425,-63.0548,Netherlands,0
52.1326,5.2913,Netherlands,0
-40.9006,174.886,New Zealand,0
12.8654,-85.2072,Nicaragua,0
17.6078,8.0817,Niger,0
9.082,8.6753,Nigeria,0
41.6086,21.7453,North Macedonia,0
60.472,8.4689,Norway,0
21,57,Oman,0
30.3753,69.3451,Pakistan,0
8.538,-80.7821,Panama,0
-6.315,143.9555,Papua New Guinea,0
-23.4425,-58.4438,Paraguay,0
-9.19,-75.0152,Peru,0
13,122,Philippines,0
51.9194,19.1451,Poland,0
39.3999,-8.2245,Portugal,0
25.3548,51.1839,Qatar,0
45.9432,24.9668,Romania,0
60,90,Russia,0
-1.9403,29.8739,Rwanda,0
13.9094,-60.9789,Saint Lucia,0
12.9843,-61.2872,Saint Vincent and the Grenadines,0
43.9424,12.4578,San Marino,0
24,45,Saudi Arabia,0
14.4974,-14.4524,Senegal,0
44.0165,21.0059,Serbia,0
-4.6796,55.492,Seychelles,0
1.2833,103.8333,Singapore,0
48.669,19.699,Slovakia,0
46.1512,14.9955,Slovenia,0
5.1521,46.1996,Somalia,0
-30.5595,22.9375,South Africa,0
40,-4,Spain,0
7,81,Sri Lanka,0
12.8628,30.2176,Sudan,0
3.9193,-56.0278,Suriname,0
63,16,Sweden,0
46.8182,8.2275,Switzerland,0
23.7,121,Taiwan*,0
-6.369,34.8888,Tanzania,0
15,101,Thailand,0
8.6195,0.8248,Togo,0
10.6918,-61.2225,Trinidad and Tobago,0
34,9,Tunisia,0
38.9637,35.2433,Turkey,0
1,32,Uganda,0
48.3794,31.1656,Ukraine,0
24,54,United Arab Emirates,0
32.3078,-64.7505,United Kingdom,0
19.3133,-81.2546,United Kingdom,0
49.3723,-2.3644,United Kingdom,0
36.1408,-5.3536,United Kingdom,0
54.2361,-4.5481,United Kingdom,0
16.7425,-62.1874,United Kingdom,0
55.3781,-3.436,United Kingdom,0
-32.5228,-55.7658,Uruguay,0
37.0902,-95.7129,US,0
41.3775,64.5853,Uzbekistan,0
6.4238,-66.5897,Venezuela,0
16,108,Vietnam,0
-15.4167,28.2833,Zambia,0
-20,30,Zimbabwe,0
0,0,Canada,0
15.415,-61.371,Dominica,0
12.1165,-61.679,Grenada,0
-18.665695,35.529562,Mozambique,0
34.802075,38.996815,Syria,0
-8.874217,125.727539,Timor-Leste,0
13.1939,-59.5432,Belize,0
19.85627,102.495496,Laos,0
26.3351,17.228331,Libya,0
31.9522,35.2332,West Bank and Gaza,0
11.8037,-15.1804,Guinea-Bissau,0
17.570692,-3.996166,Mali,0
17.357822,-62.782998,Saint Kitts and Nevis,0
64.8255,-124.8457,Canada,0
64.2823,-135,Canada,0
42.602636,20.902977,Kosovo,0
21.9162,95.956,Burma,0
18.2206,-63.0686,United Kingdom,0
18.4207,-64.64,United Kingdom,0
21.694,-71.7979,United Kingdom,0
0,0,MS Zaandam,0
-22.3285,24.6849,Botswana,0
-3.3731,29.9189,Burundi,0
8.460555,-11.779889,Sierra Leone,0
-13.254308,34.301525,Malawi,0
-51.7963,-59.5236,United Kingdom,0
46.8852,-56.3159,France,0
6.877,31.307,South Sudan,0
24.2155,-12.8858,Western Sahara,0
0.18636,6.613081,Sao Tome and Principe,0
33,65,Afghanistan,0
41.1533,20.1683,Albania,0
28.0339,1.6596,Algeria,0
42.5063,1.5218,Andorra,0
-11.2027,17.8739,Angola,0
17.0608,-61.7964,Antigua and Barbuda,0
-38.4161,-63.6167,Argentina,0
40.0691,45.0382,Armenia,0
-35.4735,149.0124,Australia,0
-33.8688,151.2093,Australia,0
-12.4634,130.8456,Australia,0
-28.0167,153.4,Australia,0
-34.9285,138.6007,Australia,0
-41.4545,145.9707,Australia,0
-37.8136,144.9631,Australia,0
-31.9505,115.8605,Australia,0
47.5162,14.5501,Austria,0
40.1431,47.5769,Azerbaijan,0
25.0343,-77.3963,Bahamas,0
26.0275,50.55,Bahrain,0
23.685,90.3563,Bangladesh,0
13.1939,-59.5432,Barbados,0
53.7098,27.9534,Belarus,0
50.8333,4,Belgium,0
9.3077,2.3158,Benin,0
27.5142,90.4336,Bhutan,0
-16.2902,-63.5887,Bolivia,0
43.9159,17.6791,Bosnia and Herzegovina,0
-14.235,-51.9253,Brazil,0
4.5353,114.7277,Brunei,0
42.7339,25.4858,Bulgaria,0
12.2383,-1.5616,Burkina Faso,0
16.5388,-23.0418,Cabo Verde,0
11.55,104.9167,Cambodia,0
3.848,11.5021,Cameroon,0
53.9333,-116.5765,Canada,0
49.2827,-123.1207,Canada,0
37.6489,-122.6655,Canada,0
53.7609,-98.8139,Canada,0
46.5653,-66.4619,Canada,0
53.1355,-57.6604,Canada,0
44.682,-63.7443,Canada,0
51.2538,-85.3232,Canada,0
46.5107,-63.4168,Canada,0
52.9399,-73.5491,Canada,0
52.9399,-106.4509,Canada,0
6.6111,20.9394,Central African Republic,0
15.4542,18.7322,Chad,0
-35.6751,-71.543,Chile,0
31.8257,117.2264,China,0
40.1824,116.4142,China,1
30.0572,107.874,China,0
26.0789,117.9874,China,0
37.8099,101.0583,China,0
23.3417,113.4244,China,0
23.8298,108.7881,China,0
26.8154,106.8748,China,0
19.1959,109.7453,China,1
39.549,116.1306,China,1
47.862,127.7615,China,1
33.882,113.614,China,1
22.3,114.2,China,0
30.9756,112.2707,China,125
27.6104,111.7088,China,0
44.0935,113.9448,China,0
32.9711,119.455,China,0
27.614,115.7221,China,0
43.6661,126.1923,China,0
41.2956,122.6085,China,0
22.1667,113.55,China,0
37.2692,106.1655,China,0
35.7452,95.9956,China,0
35.1917,108.8701,China,0
36.3427,118.1498,China,0
31.202,121.4491,China,1
37.5777,112.2922,China,0
30.6171,102.7103,China,0
39.3054,117.323,China,0
31.6927,88.0924,China,0
41.1129,85.2401,China,0
24.974,101.487,China,0
29.1832,120.0934,China,0
4.5709,-74.2973,Colombia,0
-4.0383,21.7587,Congo (Brazzaville),0
-4.0383,21.7587,Congo (Kinshasa),0
9.7489,-83.7534,Costa Rica,0
7.54,-5.5471,Cote d'Ivoire,0
45.1,15.2,Croatia,0
0,0,Diamond Princess,0
22,-80,Cuba,0
35.1264,33.4299,Cyprus,0
49.8175,15.473,Czechia,0
61.8926,-6.9118,Denmark,0
71.7069,-42.6043,Denmark,0
